GeoFIPS,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
" ""17165""",(D),4680,493,9787,653,6593,(D),6776,5416,9980,14589,24540,21780,4523,29211,1806,6329,14766,4803,11158,38457,53493,41130
" ""17167""",65625,108490,108629,138997,77779,132397,190053,200774,(D),119214,(D),(D),(D),199175,18971,113017,122556,(D),80633,125675,264097,335709,302690
" ""17169""",3847,4679,31769,(D),(D),(D),(D),41428,51729,49672,44202,53969,70744,64586,3698,38342,41052,43634,44306,52408,91545,110528,94434
" ""17171""",(D),(D),(D),(D),(D),(D),(D),32034,(D),(D),(D),52596,69307,60060,26878,36116,(D),(D),(D),(D),60953,78789,68252
" ""17173""",33494,17672,42216,83117,46817,72176,100247,154639,113805,124958,142306,105188,168527,118423,111233,79273,127980,121355,88821,104554,170923,208307,194237
" ""17175""",22652,23940,26485,32609,12351,13991,42940,54269,47738,25609,59683,37743,93418,74059,6538,33265,37706,45781,22490,44075,82776,109307,94535
" ""17177""",(D),12123,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),94752,161476,99682
" ""17179""",35744,52777,50500,73455,37309,60868,98952,127985,112025,95038,140445,116706,183571,166810,69705,117392,82087,92888,65980,79777,159051,205353,179769
" ""17181""",2367,4763,1817,2978,1654,10535,2091,6522,3208,20678,13673,8260,17555,7324,2207,42490,9164,13461,8420,11018,30570,27566,22385
" ""17183""",39804,51224,66959,81390,31031,76799,94317,142354,113146,144622,175028,157872,205537,165948,54778,90706,106944,128154,91315,132137,222655,278051,254615
" ""17185""",5365,4027,1701,18268,3674,7988,9810,19162,16075,16758,23497,11246,28074,8399,14106,5842,12088,14183,9850,12224,33364,38410,29465
" ""17187""",35535,71697,73785,73342,39035,44536,61905,88722,65428,47784,93340,89531,186648,179198,62483,100984,101546,108508,74230,97846,186634,252556,219543
" ""17189""",27107,4964,23237,60149,22582,44999,25206,42144,22299,34205,58021,58633,55235,3887,100313,7080,(D),(D),(D),15750,91000,99842,67075
" ""17191""",(D),(D),(D),(D),(D),(D),(D),(D),(D),63457,101068,126633,82552,47941,13119,27026,59520,72898,80567,69875,133619,179104,128983
" ""17193""",10027,2175,1611,29647,4359,25331,22225,51977,27641,48860,90155,64475,88905,73420,46795,66215,85600,68691,73120,56960,116563,139915,128762
" ""17195""",27771,27820,71814,(D),(D),(D),(D),(D),(D),63591,161065,(D),(D),(D),19677,62214,(D),61477,59424,84565,156460,211368,172285
" ""17197""",5730,3017,2348,29353,5001,23478,47646,70855,40941,45375,83474,51875,91463,78523,18996,23363,6342,19796,25027,29964,74997,83136,61133
" ""17199""",(D),(D),(D),(D),5458,3247,2063,192,200,464,(D),2449,(D),526,12343,991,617,(D),1141,3096,14415,17268,11241
" ""17201""",(D),(D),(D),(D),587,(D),20959,(D),(D),(D),(D),(D),(D),(D),44756,4736,4632,8731,4118,14180,40344,51670,36384
" ""17203""",30306,40190,56901,72814,33086,47839,79521,101742,(D),40198,83912,51402,143419,92977,22538,90680,58625,79534,48914,87018,155401,188334,158413
" ""18000""",2065337,1888234,2561982,3326141,2179038,2474641,3191373,4024981,3111042,3277263,4675823,4119860,7326808,5366285,3789044,3767239,3931793,3969859,3135975,4180624,6888335,8602018,8061970
" ""18001""",14890,8609,29197,55788,30676,32708,39496,58395,34808,34207,86223,115470,151813,184382,183155,(D),182754,190812,(D),111477,200784,276306,260781
" ""18003""",(D),26172,(D),41828,20223,25821,24457,(D),66890,43892,68352,(D),132520,111922,57922,110704,62234,(D),48108,53374,108735,120011,122552
" ""18005""",14405,5746,20727,33826,(D),(D),24483,42983,64698,14109,36837,44831,63755,34005,3337,39781,47045,45988,49993,50674,70266,72519,76240
" ""18007""",29274,47313,31535,41798,(D),35800,59331,85029,56707,42698,96032,55084,149588,92239,4122,72790,29801,27375,(D),61819,103460,111647,113086
" ""18009""",(D),(D),(D),(D),7020,7515,(D),14382,8560,(D),29925,30778,45990,39673,21320,18434,14771,19240,18931,17238,37376,39233,38472
" ""18011""",(D),55970,43720,58066,34163,33316,(D),(D),(D),(D),(D),(D),112812,34283,(D),8770,(D),(D),(D),(D),65344,63207,58065
" ""18013""",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),4096,4869,(D),2143,(D),(D),3486,(D),5035,4012,2349,2879
" ""18015""",32870,39666,44172,63697,48389,48465,74618,86631,51930,95917,131190,105190,(D),(D),(D),(D),(D),(D),(D),(D),150086,153534,139118
" ""18017""",(D),(D),(D),49690,(D),39797,67955,76367,30277,39589,71423,55112,118773,80775,17830,62259,52109,59873,46686,56410,97663,100340,104434
" ""18019""",19409,11812,18676,18584,6369,6514,2326,14506,6601,5857,8509,9965,19069,12736,4702,14916,19375,(D),18680,20605,26311,30248,32932
" ""18021""",11351,2410,(D),(D),(D),(D),(D),(D),31415,33493,40982,3581,44331,13874,5585,25195,16657,18796,14508,32761,48213,47228,50887
" ""18023""",(D),70084,48416,61335,(D),37320,68511,80113,31257,40448,93257,96910,150869,112721,23909,57027,48790,58482,36625,(D),112486,127950,123708
" ""18025""",2823,3491,1891,(D),(D),(D),990,287,257,(D),(D),(D),(D),2043,1252,(D),(D),1809,(D),(D),3504,2053,1946
" ""18027""",42780,28924,66581,65697,53269,47026,69844,84916,49181,58419,84207,41166,127190,97016,186169,102822,150586,155163,85216,123559,176433,340398,310057
" ""18029""",2456,5215,2922,3452,1988,946,1934,856,599,498,330,360,4748,334,1850,921,2333,1648,1324,786,3234,1022,1093
" ""18031""",41714,38041,51918,68702,58873,58906,55036,85442,76441,71255,68843,67335,87813,66069,11155,7924,37521,39490,35424,53664,102731,91368,77504
" ""18033""",9974,4394,14606,17477,9911,9006,22215,(D),19124,(D),(D),33163,(D),(D),(D),(D),(D),(D),(D),(D),53632,56640,62582
" ""18035""",22427,8062,23622,36273,24750,24300,19107,30639,23822,20201,41545,37427,75305,41917,1308,15690,13839,17587,15989,26122,50883,50324,46732
" ""18037""",53662,69093,82166,84733,67504,82173,99783,91476,12802,47460,75935,58084,92480,111377,222246,69625,94689,109315,30214,83346,141843,298742,254091
" ""18039""",50235,68492,72802,76584,56775,54965,(D),57901,(D),71888,108668,119117,152462,207905,266842,163985,(D),(D),160015,156715,209141,351735,330723
" ""18041""",(D),35508,(D),20792,11265,13934,5926,(D),25495,18724,21325,14487,29022,11142,2623,1829,7450,7931,4609,13632,24314,24149,24403
" ""18043""",3289,4585,2856,2370,2138,2261,3709,563,189,369,346,285,969,152,997,436,1254,983,1360,326,1269,1168,493
" ""18045""",24408,28640,39497,44484,31559,33366,38642,55022,30746,34740,45258,34060,90377,38269,6196,34108,21055,25874,18655,47965,66689,70320,73130
" ""18047""",21939,6316,26342,25369,17214,14065,1471,13791,25051,17599,17638,20135,32274,20583,1150,16206,22533,19320,21318,31367,40931,45023,41148
" ""18049""",11665,8261,14686,26534,11519,5875,21341,34601,4287,35276,48808,43169,97800,65978,6493,33263,31664,29390,15217,45375,77939,84958,93682
" ""18051""",44316,34000,42873,60534,32621,33066,31756,67331,42902,58587,74169,33849,99551,37934,6209,16703,36822,35659,38230,64850,95962,99390,96092
" ""18053""",(D),1020,19724,41001,23562,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),37071,24725,40936,27876,39090,72782,82146,76044
" ""18055""",10721,6672,23085,30847,25186,24197,28754,43138,46227,40856,49434,44166,71400,64926,66872,75593,66827,60652,66618,59035,85407,119163,119570
" ""18057""",14235,11384,25996,52631,73645,104483,97120,105694,93115,151168,154377,(D),(D),212370,227491,224975,206555,161867,175568,105199,159009,128962,137252
" ""18059""",(D),(D),29666,38672,22183,28390,36447,42359,64387,20578,48317,25431,68015,33873,5890,2846,24510,35624,26771,41862,66112,62163,55457
" ""18061""",28704,25334,35644,26214,11064,17659,18557,8389,4829,1806,3274,1355,21339,10228,28868,24068,23040,28789,11368,28088,40794,74011,64417
" ""18063""",68523,56791,57146,44761,30907,48801,50686,54123,113582,(D),(D),(D),(D),1967,52424,54103,62687,50043,63829,84001,77786,62975,65734
" ""18065""",12907,4805,24142,33756,19911,22774,29815,40315,49312,29285,52365,32790,77146,42759,2790,9697,(D),36337,33078,41259,65877,67812,64868
" ""18067""",28787,34909,32700,43035,27011,23257,24561,44080,19855,2970,32937,46384,85911,61609,2515,28121,19823,30842,10171,29121,56553,57379,55002
" ""18069""",15587,5449,24260,45184,20808,28262,38377,56141,58600,40911,49711,69631,100036,75075,58083,24631,14105,31265,6949,33661,75336,107479,86280
" ""18071""",67538,68034,89577,99012,81316,106882,123406,132668,84744,72222,75576,82771,87355,89114,130118,32257,27446,40745,14653,51664,91396,179299,129836
" ""18073""",44357,44189,33771,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),143484,128866,138493,108776,(D),(D),208474,245292,233890
" ""18075""",30714,15504,55713,72848,45403,56506,64031,89981,47580,86222,122936,160828,(D),(D),(D),155983,(D),250636,162879,146573,251546,456323,394043
" ""18077""",17638,5542,(D),12842,3236,1569,1270,9143,837,15302,19890,2690,(D),3938,3570,3177,3652,2946,2810,8740,9293,6164,2375
" ""18079""",3508,11972,7162,16448,12804,13890,21563,27107,19854,7921,14418,17857,32782,24150,17231,17294,20921,(D),(D),32659,40173,53560,50691
" ""18081""",6263,7665,13690,27255,15308,15004,19576,36421,47718,19900,20246,14624,45688,732,8912,4516,8476,6116,8865,11280,27946,23579,17024
" ""18083""",71460,60843,75921,83640,51565,53291,95635,109403,96151,109566,106907,51483,146691,93806,(D),100155,(D),97562,71181,100270,157826,201867,185484
" ""18085""",43549,58794,63781,63610,27096,34461,43676,34750,11203,49840,93809,98321,(D),152897,178939,(D),106648,111539,(D),(D),178094,276295,234723
" ""18087""",19352,27782,56281,51538,30644,47281,57893,39915,23509,62709,91374,123913,147817,203507,257543,171275,237342,219578,178585,144610,207484,316141,331918
" ""18089""",11596,8915,13504,24082,10804,17741,25846,26443,5591,995,17875,(D),(D),(D),(D),(D),(D),(D),(D),(D),37090,39053,38599
" ""18091""",(D),28394,(D),58207,(D),(D),(D),(D),(D),(D),(D),(D),152344,(D),(D),(D),(D),(D),(D),(D),105079,108736,112191
" ""18093""",4172,9072,7184,10055,5791,6407,7244,11695,6900,5778,14457,3730,18146,8025,4556,19727,12657,10808,10075,16116,26199,34921,32036
" ""18095""",(D),(D),(D),(D),27660,35877,42645,69128,59497,55122,87678,68105,(D),(D),(D),(D),(D),(D),(D),(D),67922,66681,59554
" ""18097""",13306,14916,3785,3992,5584,14797,18180,28164,40583,55382,32765,37178,29727,40850,63014,(D),7420,6239,(D),9781,15932,15149,19783
" ""18099""",(D),(D),12746,28440,20899,24611,36010,36781,5059,24517,53062,(D),(D),70961,19127,52080,(D),(D),59682,81647,110226,131590,131260
" ""18101""",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),54550,28828,35506,30333,(D),12498,14810,(D),(D),(D),30002,68768,55702
" ""18103""",(D),23234,38809,(D),(D),42206,31365,50545,25495,40749,(D),73104,106476,102366,46585,79859,96901,95984,90021,65598,126688,128127,119730
" ""18105""",5775,5615,3577,2952,3123,2816,(D),7294,5752,4247,5500,996,5545,1219,1192,8122,3523,3011,3047,3452,6019,2638,2750
" ""18107""",37107,48996,54485,72214,51858,65027,102571,110510,105561,104958,124335,73908,169004,90695,74275,64511,46815,37333,9017,52877,98362,109452,113221
" ""18109""",3000,5738,14692,29382,27531,43936,47348,40194,74325,42831,34610,6300,43697,5008,6347,6912,24147,22269,16791,26108,43587,44820,46452
" ""18111""",23580,44513,31471,48641,34654,33258,62662,84607,25363,27826,61852,48762,106675,92642,55209,19754,10671,25727,(D),55488,106613,131380,108762
" ""18113""",9709,11478,22849,24877,10651,7580,5445,8349,14761,9276,40018,41803,89077,74943,49039,83967,63447,61813,37098,55204,97700,132999,124062
" ""18115""",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),468,(D),1604,973,838
" ""18117""",15287,9149,20146,19524,13563,15575,10058,18389,784,1103,9377,1478,5970,5438,42105,3199,19939,30545,6627,28485,53851,138345,106336
" ""18119""",3956,6820,4830,8432,5074,2570,4535,6909,10509,15917,14781,3635,18928,3051,2836,7489,5500,6358,1802,11338,17655,16653,15582
" ""18121""",11621,3769,19084,22600,11888,6883,20207,25467,23745,29624,33192,11068,54419,13926,5791,2947,2775,5574,4514,25395,44522,45763,47957
" ""18123""",3893,6695,4620,5863,7212,6261,8153,12502,9775,14800,19403,10185,11905,15701,20840,15184,21995,22427,15897,17062,26546,44911,41052
" ""18125""",8394,3162,4495,11480,6515,751,3583,23806,18059,24200,3879,29460,39627,18860,15022,5089,10152,10934,13126,(D),20193,31445,27404
" ""18127""",(D),(D),(D),(D),(D),(D),(D),24170,(D),(D),15959,39586,75596,54786,(D),(D),(D),(D),(D),(D),44523,47111,47902
" ""18129""",93762,72124,66509,(D),24038,38759,(D),79901,65416,42741,92161,45312,(D),49392,4792,47329,50636,31466,47453,49020,78656,86958,93504
" ""18131""",17984,8639,12922,51025,34019,42657,76536,84701,21505,82115,94117,82679,129585,105591,61369,81045,60249,50880,50993,70762,114109,136951,128048
" ""18133""",3833,3740,11509,26719,12725,7283,13656,19176,36893,34041,44888,6516,64351,795,9237,1614,1930,1413,2384,19214,37247,33817,33030
" ""18135""",29390,9372,40245,57470,29694,22161,31153,47386,46858,51667,84596,75114,109973,88047,11094,26558,60964,60127,48684,55657,117267,126895,110280
" ""18137""",31110,20056,26275,31110,25264,17140,14988,24438,23300,18684,21669,41439,59264,44089,6063,25113,29256,26135,40687,44264,55308,57759,49095
" ""18139""",38533,14352,56696,67896,49289,55268,53813,85096,90384,(D),92525,72716,108963,73079,2363,36347,59438,56351,57556,58939,110522,109006,108188
" ""18141""",13672,(D),(D),(D),(D),(D),(D),(D),26152,19842,(D),(D),82501,53777,3629,26021,18717,16465,9971,27846,58051,59053,53094
" ""18143""",13056,15974,8816,15267,9267,4526,5986,(D),(D),1134,(D),6322,13585,5295,1644,609,831,1400,3228,4744,11071,6103,4404
" ""18145""",26657,13856,41506,52988,37445,44015,39775,70072,94218,55400,65468,42232,84471,24388,9495,13897,(D),12221,9286,39142,78020,85308,79109
" ""18147""",25721,18837,24379,22677,20150,12044,15879,23407,20774,18771,30066,32464,54143,37575,12839,39863,45175,43157,39833,45124,69082,78982,78858
" ""18149""",13850,19370,16384,24953,9576,20372,26577,38056,41787,62268,37276,31679,58135,33594,15215,37175,38936,29823,22231,36788,50467,53517,56034
" ""18151""",5163,11676,9477,11164,6771,10372,9097,8805,27264,13360,26008,22480,44861,22184,2306,4262,10922,8377,12010,(D),39773,39767,32853
" ""18153""",20420,5441,29424,33490,16152,12259,28196,33371,8306,20382,28555,28099,64120,25534,3421,18438,13956,15599,10901,28493,49005,57327,56675
" ""18155""",7051,(D),3386,4329,2496,(D),(D),(D),(D),386,(D),(D),4502,116,1254,(D),(D),(D),726,4355,5411,4952,4675
" ""18157""",10887,5867,(D),36891,27898,31438,40614,68129,39959,54522,71300,31718,102312,38141,7555,16770,11112,8100,12436,32660,73716,64441,58345
" ""18159""",33530,52953,34148,47864,25434,32466,44454,47795,33459,18791,44702,67593,106224,82568,15792,34034,17755,32272,35143,56294,90107,100479,94494
" ""18161""",6488,6437,10348,(D),9257,10907,5284,13343,19344,17200,14974,(D),26363,8686,2400,4105,8110,9151,1627,13511,21966,23662,25114
" ""18163""",12768,4771,18047,18527,11690,10655,(D),(D),26762,5605,22231,9460,(D),(D),729,17718,(D),(D),(D),(D),27484,28986,29875
" ""18165""",13552,21213,18589,15858,6218,3150,28504,7430,32127,28874,42613,24610,30610,5187,6622,2759,4476,2231,6160,5428,27391,27584,23481
" ""18167""",18311,16371,24674,25561,21390,19486,18924,21139,17586,33581,42159,21198,38786,12171,3782,6788,10097,10437,14557,22410,39087,38378,38659
" ""18169""",20414,5847,26860,43802,24266,21303,32014,42214,48410,67502,100939,123892,142379,112563,60701,55775,26876,31671,27663,39961,87697,85155,73977
" ""18171""",23798,33961,26366,39825,22788,36410,57057,70184,65771,48964,70091,58727,100929,66060,16164,47417,43386,(D),(D),57556,87863,98143,103418
" ""18173""",9576,1593,6698,15177,11248,9439,14169,17459,18409,5669,21002,10349,37177,6344,3542,21945,6797,14341,10336,24046,31453,32614,32862
" ""18175""",19925,10355,23303,22924,9764,12367,20501,26788,12631,16956,43264,32966,67743,70088,122058,63489,76247,81755,42197,61500,98903,194197,172881
" ""18177""",16859,8255,29213,35671,(D),28502,14677,39292,49808,41499,40128,48513,67195,44502,14838,50686,46280,39879,43021,42964,63739,68499,71140
" ""18179""",27821,11580,30609,48692,26725,32532,33259,54198,49894,40295,67952,88395,132910,115603,64997,57623,53461,73905,(D),53399,112756,124729,111873
" ""18181""",26726,38143,28850,57737,43124,47280,99732,117803,53525,87342,132098,89913,169944,110196,41872,72423,50198,67451,32271,88719,148468,173498,161583
" ""18183""",5886,13297,(D),(D),17444,30847,37374,33889,44211,22314,21342,59835,78544,52607,(D),(D),(D),47910,41169,43114,78273,83273,83813
" ""19000""",3002552,3837390,4001596,6912799,5004562,4970704,6639522,7753569,5989419,6428244,10666008,10521420,12910041,11131786,9194847,7670929,8510898,8986765,6709315,5434173,13812754,19398699,15935326
" ""19001""",14132,30956,23369,60612,27344,28322,42367,68447,45905,22096,60125,36832,51828,30268,33109,7615,12231,46210,17653,4219,73439,107421,75317
" ""19003""",18892,31031,22479,41641,(D),14201,15184,34686,36539,(D),46484,39457,(D),43429,34725,27980,40622,(D),48712,37451,70107,78041,78148
" ""19005""",18875,14627,19093,42434,37445,35514,32761,38162,13482,44966,69723,54541,113699,125999,131858,142934,104978,82912,87454,97816,107586,140541,123269
" ""19007""",(D),4294,6029,15943,8121,5985,5555,3948,9374,(D),(D),8647,25404,682,11783,2631,1058,4358,1497,1097,17574,19084,9570
" ""19009""",21885,27414,25140,70013,54046,61336,61178,81382,57531,63245,113618,76667,104339,86498,70029,71690,97873,98548,108516,93015,159499,202598,176676
" ""19011""",52307,75693,64365,87739,54576,51238,90728,110345,74091,85423,126976,106503,133285,89766,66091,61734,80573,82455,85112,108824,232785,262801,250565
" ""19013""",(D),31973,(D),(D),(D),(D),(D),(D),(D),47687,(D),(D),(D),(D),(D),(D),(D),(D),(D),16740,132034,172144,173148
" ""19015""",12651,29365,38188,66140,45394,38093,74790,66734,86837,67287,130548,140186,155982,118602,60565,46999,22043,40477,37407,42579,142961,165275,114857
" ""19017""",25032,32969,12804,49913,42500,31468,47164,27426,21377,29006,90051,62709,73819,50125,34081,22190,39788,44318,29209,22178,110708,153439,132756
" ""19019""",36140,50520,24245,54184,49909,46176,75848,41149,50041,54940,142101,100790,146752,135302,(D),(D),137230,133262,130637,116691,216554,283155,265127
" ""19021""",77208,84824,87282,132524,92900,87235,136449,193531,128594,164332,228077,257722,305847,348787,322061,177405,186575,234644,73892,76733,168034,396568,340052
" ""19023""",37734,40179,24889,86405,71928,73365,108446,84109,75377,112072,161865,120159,139972,81619,51618,19301,36351,52604,28517,9728,151644,197565,188572
" ""19025""",25967,38383,40698,83623,64202,71772,114447,137292,74089,112132,165076,151571,190356,176832,91193,120073,116384,121281,105550,78588,187518,248048,209980
" ""19027""",57909,58166,58843,116056,79544,98734,75455,138935,108765,156570,201288,169115,238539,237768,169167,218372,269143,253675,188111,161246,255618,365346,312803
" ""19029""",23400,27764,31152,74400,51943,59282,66337,93283,72050,55749,87751,61523,71725,45235,53076,36728,50926,48910,54380,45200,97128,131559,114860
" ""19031""",40371,50693,51807,63869,28127,39754,52642,53565,41648,39441,114225,104726,128236,108757,66692,62350,64768,72932,60447,38007,182811,226458,161909
" ""19033""",44223,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),116665,147019,116617
" ""19035""",48195,66122,73023,101539,82645,75058,87895,135313,110843,120231,140594,161506,164223,167456,138922,89811,113753,122393,58960,56344,149357,250780,214457
" ""19037""",12635,12308,8452,50655,48647,39756,49430,51906,27414,81157,121824,96441,132819,101618,119812,120435,78376,85546,61727,56307,138754,189236,159962
" ""19039""",947,873,(D),16146,(D),24095,22033,(D),(D),25469,28910,23368,(D),(D),(D),(D),(D),(D),(D),(D),2546,61799,32047
" ""19041""",47121,44183,69210,97861,75165,72574,94785,130667,96095,102101,143329,179467,179356,180816,182365,103904,124578,160066,117382,91850,175566,266740,223754
" ""19043""",31695,32869,40244,64929,46809,37982,45184,53543,13110,79883,142093,129669,172838,170041,141793,145353,156103,137774,122800,109456,183655,249459,205065
" ""19045""",46172,57655,50186,63962,19847,31102,58081,46307,28736,7366,94664,60212,94287,21517,49695,47998,19512,13665,14048,19141,138909,179679,132988
" ""19047""",37733,50467,49889,97648,80301,60492,103301,156357,118241,117834,159301,144750,161362,(D),71495,62138,76908,83433,76670,45523,187507,244532,249914
" ""19049""",17272,25365,31417,70158,48175,42681,68587,91380,63272,(D),85742,67492,96046,66519,57964,59905,111555,124866,176075,199280,308126,349467,372796
" ""19051""",(D),1529,1459,12049,1017,1343,919,997,877,1283,3337,9132,26640,3548,13343,8568,35011,42236,11333,3895,25535,43657,10187
" ""19053""",308,300,(D),(D),15366,11206,7085,13145,10971,13290,23058,14523,15427,1703,7554,8907,15695,15275,5098,3790,18892,34680,6248
" ""19055""",44104,36494,28882,54141,40476,35321,45361,29288,13000,58721,127918,90984,204175,192078,205623,207993,192329,154606,104710,119707,193478,296302,278175
" ""19057""",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),73140,81426,60984
" ""19059""",19380,(D),36540,(D),25277,24349,43582,(D),(D),(D),(D),76527,(D),(D),(D),(D),(D),(D),(D),(D),111080,131290,111879
" ""19061""",57798,56605,61246,73581,54220,48334,61938,46335,7917,41844,82157,102624,124877,134202,191459,159721,174868,126341,101903,155870,153708,232153,214733
" ""19063""",24829,39189,45859,52097,33490,(D),59628,67744,43892,61269,76402,82469,101690,88155,66365,3327,13337,51980,35888,4339,88566,134869,65151
" ""19065""",36438,33334,22249,75512,73570,60420,93784,83047,35105,78779,151119,138465,175501,165806,111964,90274,117152,119859,85107,79906,179088,261756,221472
" ""19067""",20400,27565,16911,53220,46971,32351,46081,63980,53217,68359,97914,69889,137014,101988,122276,141185,79300,81301,72214,47807,151623,195622,183562
" ""19069""",38179,40634,38978,95673,79241,87412,131521,105660,(D),113293,199453,191628,233766,222262,135284,111595,122993,123146,97351,48620,199149,278096,207411
" ""19071""",27618,(D),48511,71977,45240,45462,56566,65678,112204,49093,50999,(D),62583,23266,34243,54511,35839,21355,82419,28923,113098,116788,112744
" ""19073""",27751,50871,53822,80357,51645,39420,86023,78627,96009,(D),147359,111471,143957,(D),49015,50229,61354,71161,55750,42682,171820,208238,149202
" ""19075""",34947,55995,55834,90268,66814,69360,90058,100172,83878,84997,119633,140867,140022,96326,63231,48523,64697,64250,56106,48822,171148,210859,173406
" ""19077""",(D),19576,(D),(D),(D),48688,(D),(D),(D),(D),111034,83014,104399,93623,(D),(D),(D),(D),45821,62937,127463,185197,156746
" ""19079""",47516,37506,28420,91514,63601,73658,116806,101937,62387,115662,(D),171263,(D),268218,196342,165036,239137,277146,163936,73877,242548,398898,249718
" ""19081""",33963,47556,53393,76129,64151,70351,102550,125463,75975,98125,159903,149228,197478,193403,110793,45543,123830,132649,68112,23588,163641,271054,179564
" ""19083""",84410,88017,69839,136383,107108,117935,154968,106993,83065,166581,225090,225618,274481,304504,161571,150320,156759,169247,104087,63925,227240,322602,220302
" ""19085""",24954,46374,46605,73179,40193,30638,(D),(D),84690,32918,69879,59453,60968,2361,4114,2899,5160,8639,26213,2107,116629,156546,153274
" ""19087""",9839,17851,23387,50624,26248,27004,39795,58328,21952,10446,41472,66265,70885,50342,56427,42362,52973,61462,44143,33294,99446,144824,113642
" ""19089""",10897,31393,16332,39921,43650,26724,47673,44492,20867,89902,117879,134255,185515,141125,110379,103934,87097,91127,75101,58335,144698,192325,180205
" ""19091""",33352,51853,48059,66995,46633,43995,55587,73220,77298,48417,124049,115575,133979,115612,93307,96400,64645,71677,83078,52566,123958,157576,151374
" ""19093""",43512,55914,60651,70881,48374,29258,63427,102555,73125,(D),(D),(D),(D),(D),23201,14633,25196,22004,23099,33232,110650,140900,160631
" ""19095""",46261,82038,78957,78176,37524,43709,38981,(D),40392,47800,94132,95600,105514,80981,(D),56978,58535,69224,67180,(D),142065,173333,129501
" ""19097""",16030,16258,27778,43215,24753,28380,19648,34453,9346,20908,51125,39827,78840,47997,96260,114230,71016,54446,38248,64520,94551,129718,120207
" ""19099""",48406,69548,59553,(D),73008,71273,129164,117566,99768,51004,134531,123476,139032,104029,48861,41448,35964,52491,53981,51086,169883,193437,155563
" ""19101""",2415,5989,21102,36527,19386,17146,13176,25575,23338,15344,31479,45803,(D),(D),(D),4602,7793,13519,6441,721,48981,71248,33684
" ""19103""",22193,24773,22265,50083,26157,44930,64105,54388,48628,31093,91800,74881,82263,47035,41500,37619,44448,37188,30588,22032,119115,150652,123921
" ""19105""",41881,47053,46076,50147,26962,29137,43196,28344,22312,23962,65219,44956,76980,31577,57207,56626,53679,44172,36399,(D),135336,171327,178321
" ""19107""",15063,24733,(D),64512,(D),38722,(D),58600,68377,48348,102525,120570,131250,116578,109868,145209,110743,111724,102071,76985,147387,188114,155925
" ""19109""",50562,73363,95134,140057,124220,122603,169243,172631,153704,183538,269553,296004,360546,327808,194457,153115,154258,183362,157570,65079,305899,399205,278203
" ""19111""",17147,20131,29840,46108,18433,11744,17610,29496,18951,6926,23364,45081,47544,16588,17476,4416,9956,17419,16676,3254,61142,71351,38411
" ""19113""",27286,32485,38753,61130,34265,35841,36387,34442,35029,29774,82275,49818,68997,6832,14191,4910,2499,8426,5102,17581,136390,150653,172572
" ""19115""",23550,31498,29177,44690,23450,26553,33229,42974,18549,21451,49612,72947,90331,93015,69286,94355,94822,97523,89696,45517,129165,163399,127774
" ""19117""",(D),(D),520,11819,7599,4068,1097,9173,11121,12416,17808,(D),22871,9170,19794,6178,3403,(D),(D),(D),11086,17062,864
" ""19119""",61777,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),368740,(D),(D),(D),(D),(D),(D),267942,339723,527390,428954
" ""19121""",10643,17393,20549,43745,26033,31186,49997,55964,45177,26782,49525,28148,29494,13165,20883,9051,2204,14438,3729,2241,40021,65279,36698
" ""19123""",27724,31225,42120,(D),(D),(D),(D),98768,75567,48007,116727,(D),(D),(D),(D),(D),(D),(D),(D),(D),119072,167382,114204
" ""19125""",14001,24484,22849,42818,31991,27861,39394,46400,52106,18317,56180,55649,47948,19902,12005,3793,2449,8075,(D),1543,57221,63272,32841
" ""19127""",20292,31754,31967,65507,55367,47693,72060,63126,(D),55335,90987,101988,121164,92431,(D),39117,35740,(D),42185,(D),160239,185783,123960
" ""19129""",25780,28081,36763,58072,35272,(D),35807,59165,84481,46435,43915,41821,37905,2984,12664,14059,21832,11869,52298,20241,80733,86745,85199
" ""19131""",36722,47534,32782,62362,55093,59541,66037,79570,62846,98192,121748,114146,156263,99546,88880,74160,72324,76638,42621,44277,120098,174769,215492
" ""19133""",35955,48102,61684,(D),(D),(D),(D),(D),128402,72230,90601,63735,91925,76930,(D),38910,55658,42581,(D),(D),127609,171216,208217
" ""19135""",1219,(D),1220,(D),(D),(D),6564,10550,15129,10937,20170,15600,20728,4094,6833,3424,10292,15022,13547,4572,23264,32027,19748
" ""19137""",27768,41090,31875,62105,36021,44429,51103,61071,70028,37695,48926,46679,43269,11494,23578,8921,6463,2676,3221,1582,62428,78257,46959
