GeoFIPS,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
" ""01077""",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),26873,27096,17152
" ""01079""",42295,12811,33518,57185,46054,5253,49709,54432,52011,36567,8880,11307,64554,34620,28079,5111,10254,6971,7768,7824,44873,77912,23788
" ""01081""",1978,1915,5568,7196,3686,4224,4538,4171,4543,3268,12990,45767,14801,9220,10132,22137,28837,36294,32555,38975,33149,34171,43100
" ""01083""",31135,8124,55680,59536,51673,72265,41508,53895,43272,2614,49407,59440,77249,46856,29314,11855,27890,19793,(D),(D),64540,65927,67507
" ""01085""",25947,20103,32298,44481,31055,28773,55851,48918,47478,50167,43135,64677,55733,61047,46912,30119,43532,45371,31247,27997,41102,56704,63919
" ""01087""",2908,(D),(D),(D),(D),12452,11028,8398,(D),(D),5759,(D),8987,1366,1475,1513,1657,2209,(D),2684,2463,2558,4606
" ""01089""",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),22454,6218,12494
" ""01091""",26694,29930,39365,40710,42827,50882,54265,40196,36662,38916,48064,54231,60702,52276,41185,44408,45710,39091,37106,(D),40787,41277,51252
" ""01093""",(D),(D),16179,26032,29583,14542,35354,25700,27029,31977,8662,18678,43679,48090,50485,30476,37417,39772,28131,8795,44579,79037,54362
" ""01095""",80683,41948,70959,101568,70628,14558,10993,18564,33699,44834,13278,16182,75209,78072,96155,29683,51895,44964,8608,2872,63136,152751,37225
" ""01097""",(D),18994,42743,(D),32103,71181,45357,38682,63493,54537,83373,113120,55930,55825,57988,86542,78775,86789,76360,101626,76299,65053,78761
" ""01099""",19981,12867,21851,32361,34115,34434,24815,33722,20268,21108,36852,17923,36593,18531,19617,24001,28224,32009,34757,35799,31606,32853,44533
" ""01101""",23008,15469,32178,78113,91412,107919,35205,30250,45235,59061,71924,107094,83210,77342,45417,40519,43473,45229,39185,45151,40078,46112,57422
" ""01103""",(D),(D),43686,(D),(D),(D),20467,28259,(D),(D),(D),(D),(D),44696,46309,28874,35566,39960,27016,37195,26583,49235,22117
" ""01105""",(D),(D),20752,20641,34896,41460,31191,34152,(D),18074,24791,21886,46852,(D),24948,(D),38811,(D),33947,(D),34090,30116,50647
